iter	Passed	Remaining
0	105	527714
1	221	553384
2	361	601647
3	547	683212
4	689	688811
5	809	674032
6	954	680483
7	1096	684491
8	1261	699778
9	1399	698374
10	1550	703152
11	1685	700768
12	1834	703907
13	1992	709442
14	2150	714519
15	2296	715490
16	2437	714394
17	2567	710764
18	2693	706175
19	2830	704866
20	2971	704544
21	3099	701427
22	3230	699020
23	3369	698630
24	3510	698672
25	3646	697560
26	3786	697467
27	3922	696564
28	4059	695864
29	4197	695392
30	4340	695695
31	4466	693349
32	4601	692572
33	4743	692828
34	4878	692051
35	5022	692602
36	5157	691801
37	5289	690748
38	5442	692320
39	5597	694134
40	5745	694936
41	5886	694927
42	6035	695777
43	6176	695748
44	6301	693905
45	6434	692990
46	6577	693170
47	6744	695768
48	6890	696219
49	7046	697645
50	7186	697385
51	7329	697418
52	7476	697834
53	7619	697924
54	7754	697214
55	7899	697391
56	8035	696873
57	8172	696354
58	8328	697470
59	8464	696881
60	8600	696375
61	8746	696584
62	8868	695017
63	8986	693096
64	9124	692775
65	9270	693031
66	9409	692769
67	9552	692866
68	9689	692472
69	9830	692322
70	9973	692353
71	10114	692247
72	10231	690581
73	10368	690238
74	10492	688986
75	10638	689242
76	10766	688358
77	10902	687946
78	11035	687420
79	11184	687835
80	11314	687114
81	11454	686991
82	11613	688019
83	11754	687901
84	11897	687947
85	12036	687765
86	12175	687551
87	12330	688247
88	12447	686841
89	12573	685952
90	12715	685943
91	12860	686080
92	13003	686121
93	13131	685362
94	13262	684786
95	13394	684237
96	13529	683857
97	13665	683571
98	13821	684242
99	13967	684401
100	14087	683291
101	14229	683300
102	14355	682493
103	14482	681787
104	14634	682233
105	14760	681486
106	14902	681453
107	15040	681277
108	15179	681147
109	15321	681102
110	15467	681248
111	15596	680670
112	15742	680828
113	15813	677770
114	15943	677233
115	16089	677406
116	16250	678208
117	16399	678480
118	16547	678717
119	16689	678689
120	16841	679104
121	16975	678760
122	17115	678641
123	17247	678204
124	17399	678597
125	17544	678664
126	17691	678823
127	17834	678833
128	17962	678250
129	18094	677845
130	18243	678088
131	18385	678033
132	18526	677965
133	18668	677933
134	18807	677780
135	18944	677529
136	19080	677295
137	19221	677201
138	19369	677384
139	19517	677541
140	19671	677901
141	19810	677731
142	19862	674623
143	19984	673906
144	20034	670804
145	20160	670281
146	20315	670671
147	20463	670884
148	20611	671038
149	20744	670736
150	20894	670984
151	21037	670989
152	21184	671113
153	21320	670918
154	21455	670645
155	21598	670672
156	21650	667847
157	21804	668200
158	21940	668000
159	22067	667536
160	22203	667336
161	22337	667102
162	22483	667190
163	22638	667560
164	22773	667338
165	22920	667468
166	23055	667225
167	23201	667328
168	23335	667061
169	23465	666690
170	23605	666615
171	23746	666546
172	23898	666822
173	24028	666454
174	24165	666267
175	24299	666035
176	24446	666139
177	24587	666069
178	24727	665996
179	24874	666081
180	25014	665998
181	25161	666100
182	25284	665559
183	25420	665349
184	25552	665053
185	25677	664576
186	25824	664673
187	25976	664891
188	26113	664730
189	26233	664119
190	26390	664448
191	26539	664593
192	26681	664550
193	26806	664073
194	26950	664092
195	27081	663775
196	27213	663485
197	27359	663532
198	27497	663394
199	27624	662992
200	27772	663085
201	27918	663140
202	28048	662799
203	28182	662571
204	28324	662517
205	28464	662428
206	28603	662312
207	28761	662615
208	28903	662579
209	29052	662668
210	29198	662720
211	29346	662776
212	29494	662875
213	29630	662666
214	29772	662615
215	29908	662427
216	30064	662667
217	30202	662525
218	30335	662246
219	30485	662376
220	30633	662433
221	30758	661994
222	30903	662000
223	31048	661987
224	31187	661870
225	31333	661894
226	31483	661983
227	31631	662041
228	31783	662171
229	31915	661897
230	32053	661753
231	32204	661862
232	32333	661522
233	32478	661512
234	32632	661677
235	32780	661725
236	32900	661194
237	33041	661101
238	33169	660746
239	33297	660391
240	33437	660279
241	33579	660210
242	33722	660160
243	33865	660101
244	34007	660014
245	34165	660259
246	34316	660356
247	34463	660363
248	34606	660296
249	34732	659908
250	34873	659813
251	35012	659677
252	35168	659862
253	35302	659626
254	35441	659480
255	35587	659477
256	35730	659416
257	35888	659616
258	36040	659722
259	36203	660013
260	36346	659943
261	36479	659689
262	36620	659582
263	36769	659624
264	36904	659404
265	37050	659391
266	37196	659373
267	37306	658709
268	37438	658448
269	37582	658389
270	37737	658519
271	37881	658465
272	38012	658179
273	38163	658258
274	38297	658022
275	38442	657977
276	38595	658067
277	38731	657880
278	38874	657794
279	39000	657443
280	39152	657512
281	39288	657312
282	39431	657240
283	39572	657121
284	39725	657206
285	39839	656648
286	39976	656483
287	40120	656423
288	40263	656336
289	40395	656072
290	40547	656139
291	40704	656294
292	40859	656395
293	40991	656142
294	41146	656259
295	41294	656250
296	41435	656130
297	41583	656124
298	41721	655955
299	41879	656114
300	42019	655981
301	42149	655697
302	42297	655680
303	42459	655889
304	42609	655907
305	42751	655795
306	42885	655576
307	43010	655208
308	43044	653464
309	43190	653434
310	43336	653391
311	43501	653631
312	43632	653369
313	43765	653144
314	43904	652988
315	44067	653208
316	44225	653344
317	44368	653252
318	44500	652995
319	44639	652858
320	44779	652719
321	44922	652637
322	45073	652657
323	45231	652790
324	45375	652713
325	45506	652447
326	45657	652462
327	45795	652313
328	45935	652177
329	46069	651946
330	46203	651729
331	46334	651480
332	46482	651447
333	46622	651315
334	46758	651124
335	46907	651117
336	47049	651019
337	47193	650931
338	47339	650877
339	47465	650553
340	47619	650609
341	47764	650542
342	47905	650426
343	48030	650088
344	48153	649726
345	48293	649593
346	48441	649569
347	48597	649636
348	48750	649684
349	48884	649468
350	49021	649289
351	49169	649255
352	49307	649097
353	49440	648868
354	49572	648629
355	49716	648543
356	49866	648546
357	50006	648406
358	50143	648236
359	50279	648042
360	50433	648097
361	50585	648106
362	50717	647876
363	50851	647657
364	51009	647748
365	51145	647567
366	51299	647600
367	51452	647629
368	51597	647549
369	51734	647378
370	51889	647424
371	52023	647212
372	52174	647215
373	52326	647230
374	52481	647274
375	52605	646930
376	52739	646718
377	52867	646442
378	53018	646432
379	53157	646285
380	53302	646208
381	53431	645930
382	53566	645735
383	53701	645541
384	53837	645354
385	53986	645320
386	54117	645079
387	54260	644972
388	54402	644863
389	54561	644948
390	54710	644910
